Identificacao_do_veiculo,Codigo_evento,Data_de_Inicio_do_protesto,Cidade,Local,Base_social,Base_social_2,Alvo_protesto,Ocupação/Atividade,Objetivo_1,Objetivo_2,Ambito_do_Protesto,Capilaridade,Unidade_Capilaridade,N_Part,Data_termino_do_protesto,Org,Org_2,Org_3,Tipo_Protesto,Confronto_entre_manifestantes,Depredacao,Presenca_policia,Repressao_policial,Detidos,Feridos,Mortos
20120915FSPB06_1,20120912OCUP01,2012-09-12,MG,Correios,Trabalhadores,,Gov. Federal,Comércio e Serviço,Reajuste_salarial,,Nacional,17,Estados,99,,,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120915FSPB06_1,20120912OCUP01,2012-09-12,PA,Correios,Trabalhadores,,Gov. Federal,Comércio e Serviço,Reajuste_salarial,,Nacional,17,Estados,99,,,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120917FSPC05_1,20120517BSHT01,2012-05-17,BR,BR,Trabalhadores,,Gov. Federal,Educação,Protestar_por_plano_de_carreira_e_salario,melhorias_nas_instituicoes,Nacional,5,Estados,10000,2012-09-16,Sindicato Nacional dos Docentes das Instituições de Ensino Superior,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120919FSPB07_1,20120912OCUP01,2012-09-12,BR,Correios,Trabalhadores,,Gov. Federal,Comércio e Serviço,Reajuste_salarial,,Nacional,17,Estados,99,,,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120919FSPB07_2,20120918OCUP01,2012-09-18,BR,Bancos,Trabalhadores,,Patronato,Comércio e Serviço,Reajuste_salarial,,Nacional,99,Estados,99,,Confederação Nacional dos Trabalhadores do Ramo Financeiro,Federação Nacional dos Bancos,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120919FSPC03_1,20120918TERR01,2012-09-18,São Paulo,Favela_do_Moinho,Moradores,,Gov. Municipal,,Protestar-contra_a_proibicao_imposta_por_PMs,,Local,1,Capitais,99,2012-09-18,,,,Bloqueio de Estradas/Piquete,NM,NM,NM,NM,NM,NM,NM
20120920FSPB04_1,20120912OCUP01,2012-09-12,BR,Correios,Trabalhadores,,Gov. Federal,Comércio e Serviço,Reajuste_salarial,,Nacional,17,Estados,99,,,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120921FSPB03_1,20120918OCUP01,2012-09-18,BR,Bancos,Trabalhadores,,Patronato,Comércio e Serviço,Reajuste_salarial,,Nacional,99,Estados,99,,,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120921FSPC10_1,20120920TERR01,2012-09-20,São Paulo,Favela_Moinho,Moradores,,Gov. Municipal,,Protestar_contra_a_truculencia_dos_policiais,,Local,1,Capitais,99,2012-09-20,,,,Passeata/Marcha/Ato,NM,NM,Sim,Sim,NM,Sim,NM
20120926FSPC04_1,20120925IDEN01,2012-09-25,São Paulo,Escola_Rio_Branco,Estudante,,Reitoria/Direção de Escola,,Protestar_contra_instalacao_de_cameras_nas_salas,,Local,1,Capitais,99,2012-09-25,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
