Identificacao_do_veiculo,Codigo_evento,Data_de_Inicio_do_protesto,Cidade,Local,Base_social,Base_social_2,Alvo_protesto,Ocupação/Atividade,Objetivo_1,Objetivo_2,Ambito_do_Protesto,Capilaridade,Unidade_Capilaridade,N_Part,Data_termino_do_protesto,Org,Org_2,Org_3,Tipo_Protesto,Confronto_entre_manifestantes,Depredacao,Presenca_policia,Repressao_policial,Detidos,Feridos,Mortos
20110114FSPC10_1,20150221NMEN01,2011-01-13,São Paulo,Praca_da_Republica,Estudante,,Gov. Municipal,,Contra_o_aumento_da_tarifa_do_transporte_publico,,Local,1,Via Pública e Estradas,700,2011-01-13,Movimento Passe Livre,,,Passeata/Marcha/Ato,Não,Sim,Sim,Sim,Sim,Sim,Não
20110115FSPA10_1,20110114OCUP01,2011-01-14,Anapu,Assentamento_Esperanca,Trabalhadores,,Outros Grupos da Sociedade,Rural,evitar_entrada_saida_madeireiros_ilegais,,Local,1,Ocupações,99,,,,,Bloqueio de Estradas/Piquete,NM,NM,Sim,NM,NM,NM,NM
20110115FSPC12_1,20110114BSHT02,2011-01-14,São Paulo,Santa_Ifigenia,Trabalhadores,Empregadores,Gov. Municipal,Comércio e Serviço,evitar_apresentacao_de_projeto_demolicao_comercio_cracolandia,,Local,1,Bairros,1100,2011-01-14,,,,Passeata/Marcha/Ato,NM,NM,Sim,NM,NM,NM,NM
20110116FSPA15_1,20110114TERR01,2011-01-14,Araçatuba,Pontal_do_Paranapanema,Sem Terra,,Gov. Estadual,,pela_inclusao_social_trabalhador_rural,reforma_agraria,Estadual,99,Estados,99,,,,,Ocupação de Terra,Não,NM,NM,NM,NM,NM,NM
20110121FSPC11_1,20110120IDEN01,2011-01-20,São Paulo,Av_Paulista,Estudante,,Gov. Municipal,,Contra_o_aumento_da_tarifa_do_transporte_publico,,Local,1,Via Pública e Estradas,3000,2011-01-20,Movimento Passe Livre,,,Passeata/Marcha/Ato,Não,Não,Sim,Não,NM,NM,NM
20110126FSPC04_1,20110125POLI01,2011-01-25,São Paulo,Igreja,Militantes de Partidos,,Gov. Municipal,,contra _gestao_prefeito_kassab_SP,contra_enchente_contra_aumento_tarifa_onibus_contra_troca_de_terreno,Municipal,99,Instituição,99,2011-01-25,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20110126FSPC04_1,20110125POLI01,2011-01-25,São Paulo,Mario_de_Andrade,Militantes de Partidos,,Gov. Municipal,,contra _gestao_prefeito_kassab_SP,contra_enchente_contra_aumento_tarifa_onibus_contra_troca_de_terreno,Municipal,99,Instituição,99,2011-01-25,Movimento Passe Livre,,,Outros,NM,NM,Sim,Sim,NM,NM,NM
20110211FSPA07_1,20110210TERR01,2011-02-10,Maceió,Porto,Sem Terra,,Gov. Estadual,,Nada_consta,,Local,1,Via Pública e Estradas,300,,Comissão Pastoral da Terra,,,Ocupação de Espaço Público,NM,Não,NM,NM,NM,NM,NM
20110218FSPC10_1,20110217IDEN01,2011-02-17,São Paulo,Prefeitura,Estudante,,Gov. Municipal,,Contra_o_aumento_da_tarifa_do_transporte_publico,,Local,1,Instituição,400,2011-02-17,,,,Passeata/Marcha/Ato,NM,NM,Sim,Sim,NM,Sim,NM
20110225FSPA09_1,20110224TERR01,2011-02-24,Apiaí,Prefeitura,Sem Terra,,Gov. Municipal,,saneamento_no_assentamento,reforma_agrária,Local,1,Instituição,99,2011-02-24,Movimento dos Trabalhadores Rurais Sem Terra,,,Ocupação de Terra,NM,Não,NM,NM,NM,NM,NM
20110302FSPA09_1,20110228IDEN01,2011-02-28,Aracaju,Praça,Mulheres,Sem Terra,Outros Grupos da Sociedade,,dia_da_mulher,denunciar_polimero_verde,Nacional,4,Cidades,99,,Via Campesina,,,Ocupação de Espaço Público,NM,NM,NM,NM,NM,NM,NM
20110302FSPA09_1,20110228IDEN01,2011-02-28,Eunápolis,Fazenda,Mulheres,Sem Terra,Outros Grupos da Sociedade,,dia_da_mulher,denunciar_polimero_verde,Nacional,4,Cidades,99,,,,,Ocupação de Terra,NM,NM,NM,NM,NM,NM,NM
20110302FSPA09_1,20110228IDEN01,2011-02-28,Recife,Superintendecia_INCRA,Mulheres,Sem Terra,Outros Grupos da Sociedade,,dia_da_mulher,denunciar_polimero_verde,Nacional,4,Cidades,99,,Movimento dos Trabalhadores Rurais Sem Terra,Via Campesina,,Ocupação de Órgão Público,NM,Sim,NM,NM,NM,NM,NM
20110302FSPA09_1,20110228IDEN01,2011-02-28,Triunfo,BRASKEM,Mulheres,Sem Terra,Outros Grupos da Sociedade,,dia_da_mulher,denunciar_polimero_verde,Nacional,4,Cidades,99,,Via Campesina,,,Ocupação de Terra,NM,NM,NM,NM,NM,NM,NM
20110304FSPC01_1,20110303OCUP01,2011-03-03,BA,Bahia,Trabalhadores,,Gov. Estadual,Forças de segurança e familiares,contra_morte_de_policial_civil,excesso_jornada; reajuste_hora_extra_prisoes_ilegais,Estadual,99,Cidades,99,,Sindicato dos Policiais Civis da Bahia,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20110305FSPA05_1,20110303IDEN01,2011-03-03,São Paulo,INCRA,Mulheres,Sem Terra,Sociedade,,dia_da_mulher,assentamento_para_familias_acampadas_politicas_publicas_lavoura_sem_agrotoxico,Nacional,99,Cidades,99,,Movimento dos Trabalhadores Rurais Sem Terra,Via Campesina,,Ocupação de Órgão Público,NM,NM,NM,NM,NM,NM,NM
20110305FSPA05_1,20110303IDEN01,2011-03-03,Uberaba,BR_050,Mulheres,Sem Terra,Sociedade,,dia_da_mulher,assentamento_para_familias_acampadas_politicas_publicas_lavoura_sem_agrotoxico,Nacional,99,Cidades,99,,Movimento dos Trabalhadores Rurais Sem Terra,Via Campesina,,Bloqueio de Estradas/Piquete,NM,NM,Sim,NM,NM,NM,NM
20110305FSPC03_1,20110304IDEN01,2011-03-04,São Paulo,centro,Negros,,Outros Grupos da Sociedade,,pela_valorizacao_da_cultura_negra_no_paisandu,,Local,1,Bairros,99,2011-03-04,,,,Intervenção Artistíca/Simbólica,NM,NM,NM,NM,NM,NM,NM
20110305FSPC04_1,20110304TERR01,2011-03-04,São Paulo,Mboi_Mirim,Moradores,,Gov. Municipal,,melhoria_ transporte_coletivo_na_regiao,volta_de_linhas,Local,1,Bairros,2000,2011-03-04,,,,Bloqueio de Estradas/Piquete,NM,NM,NM,NM,NM,NM,NM
20110308FSPA05_1,20110305OCUP01,2011-03-05,Alvorada do Sul,Fazenda,Trabalhadores,,Patronato,Rural,Nada_consta,,Local,1,Ocupações,30,2011-03-05,Confederação Nacional dos Trabalhadores na Agricultura,,,Ocupação de Terra,NM,NM,Sim,Sim,Sim,Sim,NM
20110316FSPC07_1,20110315NMEN01,2011-03-15,Teresópolis,Prefeitura,Não Mencionada,,Gov. Municipal,,pela_renuncia_do_prefeito,,Local,1,Instituição,300,2011-03-15,,,,Passeata/Marcha/Ato,NM,Sim,Sim,Sim,Não,Não,NM
20110318FSPB01_1,20110315OCUP01,2011-03-15,Porto Velho,Usina_Jirau,Trabalhadores,,Patronato,Indústria,reacao_a prisao_abusiva_de_trabalhador,reajuste_salarial; vale_alimentacao,Local,1,Instituição,99,,,,,Outros,NM,Sim,Sim,Sim,NM,NM,NM
20110318FSPC11_1,20110317BSHT01,2011-03-17,São Paulo,Metro,Estudante,Trabalhadores,Gov. Municipal,Diversificado,Contra_o_aumento_da_tarifa_do_transporte_publico,,Local,1,Via Pública e Estradas,250,2011-03-17,Central Geral dos Trabalhadores do Brasil,Movimento dos Trabalhadores Rurais Sem Terra,Partido Verde,Passeata/Marcha/Ato,NM,Sim,Sim,Sim,Sim,Sim,NM
20110325FSPC02_1,20110324BSHT01,2011-03-24,São Paulo,Av_Paulista,Estudante,Trabalhadores,Gov. Municipal,Não Identificado,Contra_o_aumento_da_tarifa_do_transporte_publico,,Local,1,Via Pública e Estradas,500,2011-03-24,,,,Passeata/Marcha/Ato,NM,NM,Sim,NM,Sim,NM,NM
20110326FSPA07_1,20110325TERR01,2011-03-25,Caruaru,Caixa,Sem Terra,,Gov. Federal,,exigir_rapidez_recursos_em_convenios_assentamentos,,Estadual,4,Cidades,300,,Movimento dos Trabalhadores Rurais Sem Terra,,,Ocupação de Órgão Público,NM,Não,NM,Não,NM,NM,NM
20110326FSPA07_1,20110325TERR01,2011-03-25,Limoeiro,Caixa,Sem Terra,,Gov. Federal,,exigir_rapidez_recursos_em_convenios_assentamentos,,Estadual,4,Cidades,300,,Movimento dos Trabalhadores Rurais Sem Terra,,,Ocupação de Órgão Público,NM,Não,NM,Não,NM,NM,NM
20110326FSPA07_1,20110325TERR01,2011-03-25,Serra Talhada,Caixa,Sem Terra,,Gov. Federal,,exigir_rapidez_recursos_em_convenios_assentamentos,,Estadual,4,Cidades,300,,Movimento dos Trabalhadores Rurais Sem Terra,,,Ocupação de Órgão Público,NM,Não,NM,Não,NM,NM,NM
20110326FSPA07_1,20110325TERR01,2011-03-25,Timbaúba,Caixa,Sem Terra,,Gov. Federal,,exigir_rapidez_recursos_em_convenios_assentamentos,,Estadual,4,Cidades,300,,Movimento dos Trabalhadores Rurais Sem Terra,,,Ocupação de Órgão Público,NM,Não,NM,Não,NM,NM,NM
20110327FSPA10_1,20110326NMEN01,2011-03-26,Curralinho,Prefeitura_e_Camara,Não Mencionada,,Legislativo,,pela_abertura_de_processo_de cassacao_prefeito_Curralinho,,Municipal,1,Instituição,99,2011-03-26,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20110329FSPC07_1,20110328IDEN01,2011-03-28,São Paulo,4_DP,LGBT,,Outros Grupos da Sociedade,,Contra_homofobia,,Local,1,Instituição,120,2011-03-28,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20110404FSPA08_1,20110402TERR01,2011-04-02,Alcobaça,Fazenda,Sem Terra,,Sociedade,,Abril_vermelho,lembrar_massacre_eldorado_carajas,Estadual,5,Ocupações,1300,,Movimento dos Trabalhadores Rurais Sem Terra,,,Ocupação de Terra,NM,NM,NM,NM,NM,NM,NM
20110404FSPA08_1,20110402TERR01,2011-04-02,Itabela,Complexo_Muqui,Sem Terra,,Sociedade,,Abril_vermelho,lembrar_massacre_eldorado_carajas,Estadual,5,Ocupações,1300,,Movimento dos Trabalhadores Rurais Sem Terra,,,Ocupação de Terra,NM,NM,NM,NM,NM,NM,NM
20110404FSPA08_1,20110402TERR01,2011-04-02,Itamaraju,Fazenda,Sem Terra,,Sociedade,,Abril_vermelho,lembrar_massacre_eldorado_carajas,Estadual,5,Ocupações,1300,,Movimento dos Trabalhadores Rurais Sem Terra,,,Ocupação de Terra,NM,NM,NM,NM,NM,NM,NM
20110404FSPA08_1,20110402TERR01,2011-04-02,Jucuruçu,Fazenda,Sem Terra,,Sociedade,,Abril_vermelho,lembrar_massacre_eldorado_carajas,Estadual,5,Ocupações,1300,,Movimento dos Trabalhadores Rurais Sem Terra,,,Ocupação de Terra,NM,NM,NM,NM,NM,NM,NM
20110404FSPA08_1,20110402TERR01,2011-04-02,Teixeira de Freitas,Fazenda,Sem Terra,,Sociedade,,Abril_vermelho,lembrar_massacre_eldorado_carajas,Estadual,5,Ocupações,1300,,Movimento dos Trabalhadores Rurais Sem Terra,,,Ocupação de Terra,NM,NM,NM,NM,NM,NM,NM
20110406FSPC11_1,20110405OCUP01,2011-04-05,Brasília,Brasília,Empregadores,,Legislativo,,pela_aprovacao_da_revisao_do_codigo_florestal,,Local,1,Capitais,15000,2011-04-05,Confederação da Agricultura e Pecuária do Brasil,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20110408FSPC11_1,20110407OCUP01,2011-04-07,BR,Brasil,Trabalhadores,,Outros Grupos da Sociedade,Profissional Liberal,protestar_por_valores_que_recebem_dos_planos_de_saude,,Nacional,99,Cidades,99,2011-04-07,,,,Paralisação,NM,NM,NM,NM,NM,NM,NM
20110408FSPC11_2,20110407OCUP02,2011-04-07,São Paulo,Centro,Trabalhadores,,Gov. Municipal,Educação,aumento_salarial,,Local,1,Bairros,2000,2011-04-07,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20110412FSPA09_1,20110410TERR01,2011-04-10,Presidente Bernardes,Fazenda_Guarani,Sem Terra,,Gov. Federal,,pela_reforma_agraria,lembrar_massacre_eldorado_carajas,Estadual,99,Ocupações,6000,,,,,Ocupação de Terra,NM,NM,NM,NM,NM,NM,NM
20110412FSPA09_1,20110410TERR01,2011-04-10,Teodoro Sampaio,Copacabana,Sem Terra,,Gov. Federal,,pela_reforma_agraria,lembrar_massacre_eldorado_carajas,Estadual,99,Ocupações,6000,,,,,Ocupação de Terra,NM,NM,NM,NM,NM,NM,NM
20110412FSPA09_1,20110410TERR01,2011-04-10,Teodoro Sampaio,ETH_Bioenergia,Sem Terra,,Gov. Federal,,pela_reforma_agraria,lembrar_massacre_eldorado_carajas,Estadual,99,Ocupações,6000,,,,,Ocupação de Terra,NM,NM,NM,NM,NM,NM,NM
20110412FSPA09_1,20110410TERR01,2011-04-10,Teodoro Sampaio,Fazenda_Galpao_de_Zinco,Sem Terra,,Gov. Federal,,pela_reforma_agraria,lembrar_massacre_eldorado_carajas,Estadual,99,Ocupações,6000,,,,,Ocupação de Terra,NM,NM,NM,NM,NM,NM,NM
20110412FSPC06_1,20110409OCUP01,2011-04-09,São Paulo,FFLCH,Trabalhadores,,Patronato,Comércio e Serviço,Pagamento_dos_salarios_atrasados,,Local,1,Instituição,99,,,,,Greve de Empresa,NM,NM,NM,NM,NM,NM,NM
20110413FSPC07_1,20110409BSHT01,2011-04-09,São Paulo,FFLCH,Trabalhadores,Estudante,Patronato,Educação,Pagamento_dos_salarios_atrasados,,Local,1,Instituição,99,,,,,Greve de Empresa,NM,NM,NM,NM,NM,NM,NM
20110426FSPC08_1,20110425TERR01,2011-04-25,São Sebastião,rodovia_rio_Santos,Moradores,,Gov. Municipal,,ajuda_para_desalojados_pela_chuva,reuniao_com_prefeito,Local,1,Via Pública e Estradas,200,2011-04-25,,,,Bloqueio de Estradas/Piquete,NM,NM,NM,NM,Não,NM,NM
20110427FSPA13_1,20110427OCUP01,2011-04-27,BR,Justica_Federal,Trabalhadores,,Gov. Federal,Administração Pública,Reajuste_salarial,beneficios; protecao_policial,Nacional,99,Instituição,99,2011-04-27,Associação de Juízes Federais,,,Paralisação,NM,NM,NM,NM,NM,NM,NM
20110428FSPA10_1,20110427OCUP01,2011-04-27,BR,Justica_Federal,Trabalhadores,,Gov. Federal,Administração Pública,Reajuste_salarial,beneficios; protecao_policial,Nacional,99,Instituição,99,2011-04-27,Associação de Juízes Federais,,,Paralisação,NM,NM,NM,NM,NM,NM,NM
20110429FSPC04_1,20110428TERR01,2011-04-28,São Paulo,Mboi_Mirim,Moradores,,Gov. Municipal,,melhoria_na_saude,transporte,Local,99,Bairros,400,2011-04-28,,,,Bloqueio de Estradas/Piquete,NM,NM,Sim,NM,Sim,NM,NM
20110508FSPC08_1,20110426OCUP01,2011-04-26,PB,UEPB,Trabalhadores,,Gov. Estadual,Educação,descumprimento_da_lei_de_autonomia_do_repasse,,Estadual,99,Instituição,99,,Associação dos Docentes da UEPB,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20110512FSPC04_1,20110511OCUP01,2011-05-11,BR,Brasil,Trabalhadores,,Legislativo,Educação,aprovação_do_PNE,,Nacional,12,Estados,99,2011-05-11,,,,Paralisação,NM,NM,NM,NM,NM,NM,NM
20110513FSPC12_1,20110512IDEN01,2011-05-12,São Paulo,Itau_Cultural,Mulheres,,Outros Grupos da Sociedade,,contra_repressao_por_amamentar_em_publico,,Local,1,Instituição,30,2011-05-12,,,,Intervenção Artistíca/Simbólica,NM,NM,NM,NM,NM,NM,NM
20110515FSPA18_1,20110514TERR01,2011-05-14,São Paulo,Higienopolis,Não Mencionada,,Gov. Municipal,,contra_cancelamento_da_construcao_de_estacao_de metro_em_higienopolis,,Local,1,Bairros,800,2011-05-14,Convocado pela Internet,,,Intervenção Artistíca/Simbólica,NM,NM,Sim,NM,NM,NM,NM
20110517FSPC08_1,20110515POLI01,2011-05-15,Caetité,Caetite,Ambientalistas,,Outros Grupos da Sociedade,,impedir_entrada_de_uranio_na_cidade,,Local,1,Cidades,3000,2011-05-15,Grupo Ecológico Amigos da Onça,,,Bloqueio de Estradas/Piquete,NM,NM,NM,NM,NM,NM,NM
20110522FSPA16_1,20110521NMEN01,2011-05-21,São Paulo,Av Paulista,Não Mencionada,,Outros Grupos da Sociedade,,Pela_legalizacao_da_maconha,liberdade_de_expressao,Local,1,Capitais,700,2011-05-21,Marcha da Maconha,,,Passeata/Marcha/Ato,NM,NM,Sim,Sim,Sim,Sim,NM
20110522FSPA16_2,20110521NMEN02,2011-05-21,São Paulo,av_paulista,Não Mencionada,,Outros Grupos da Sociedade,,contra_a_marcha_da_maconha,,Local,1,Capitais,20,2011-05-21,Extrema Direita Nacionalista do Brasil,,,Passeata/Marcha/Ato,Sim,NM,Sim,NM,NM,NM,NM
20110522FSPA16_3,20110521IDEN01,2011-05-21,Curitiba,centro_civico,Religiosos,,Legislativo,,contra_kit_anti_homofobia,contra_legalizacao_da_maconha,Local,1,Capitais,50000,2011-05-21,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20110523FSPC02_1,20110522POLI01,2011-05-22,São Paulo,Ibirapuera,Ambientalistas,,Legislativo,,pelo_veto_nas_mudancas_do codigo_florestal,,Local,1,Capitais,1500,2011-05-22,SOS Mata Atlântica,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20110527FSPA10_1,20110526TERR01,2011-05-26,Marabá,BR050,Sem Terra,,Outros Grupos da Sociedade,,contra_assassinato_de_extrativistas,,Local,1,Cidades,99,2011-05-26,,,,Bloqueio de Estradas/Piquete,NM,NM,NM,NM,NM,NM,NM
20110529FSPA14_1,20110528NMEN01,2011-05-28,são paulo,MASP,Não Mencionada,,Outros Grupos da Sociedade,,Pela_legalizacao_da_maconha,liberdade_de_expressao,Local,1,Capitais,2500,2011-05-28,Marcha da Maconha,,,Passeata/Marcha/Ato,Sim,NM,Sim,NM,Sim,NM,NM
20110601FSPB12_1,20110505OCUP01,2011-05-05,São José dos Pinhais,VOLKS,Trabalhadores,,Patronato,Indústria,Reajuste_do_valor_do_PLR,,Local,1,Instituição,99,,,,,Greve de Empresa,NM,NM,NM,NM,NM,NM,NM
20110602FSPC04_1,20110601OCUP01,2011-06-01,São Paulo,CPTM,Trabalhadores,,Gov. Municipal,Transporte,Reajuste_salarial,vale_refeicao; plano_de_carreira_adicional_de_risco,Municipal,1,Capitais,99,,,,,Greve de Empresa,NM,NM,NM,NM,NM,NM,NM
20110602FSPC04_2,20110601OCUP02,2011-06-01,São Paulo,Onibus,Trabalhadores,,Patronato,Comércio e Serviço,por_quinze_porcento_de_reajuste_salarial,,Municipal,1,Cidades,99,,Sindicato dos Rodoviários de São Paulo,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20110603FSPB11_1,20110505OCUP01,2011-05-05,São José dos Pinhais,VOLKS,Trabalhadores,,Patronato,Indústria,Reajuste_do_valor_do_PLR,,Local,1,Instituição,99,,,,,Greve de Empresa,NM,NM,NM,NM,NM,NM,NM
20110604FSPC08_1,20110603OCUP01,2011-06-03,Rio de Janeiro,Quartel_Central_dos_Bombeiros,Trabalhadores,,Gov. Estadual,Forças de segurança e familiares,Reajuste_salarial,melhores_condicoes_de_trabalho; gratificacoes,Local,1,Capitais,2000,,,,,Ocupação de Órgão Público,Não,Sim,Sim,Sim,NM,NM,NM
20110605FSPA10_1,20110603OCUP01,2011-06-03,Rio de Janeiro,Quartel_Central_dos_Bombeiros,Trabalhadores,,Gov. Estadual,Forças de segurança e familiares,Reajuste_salarial,melhores_condicoes_de_trabalho; gratificacoes,Local,1,Capitais,2000,2011-05-04,,,,Ocupação de Órgão Público,Não,Sim,Sim,Sim,Sim,Sim,NM
20110608FSPA13_1,20110607BSHT01,2011-06-07,Salvador,Executivo_do_Estado_da_Bahia,Quilombolas,Trabalhadores,Gov. Estadual,Autônomo/Conta Própria,contra_construcao_de_barragem_do_rio_sao_francisco,a_favor_da_regularizacao_de_terra_quilombola; melhoria_barcos_pescadores,Local,1,Capitais,700,2011-06-07,,,,Passeata/Marcha/Ato,NM,NM,Sim,Sim,NM,NM,NM
20110609FSPB03_1,20110505OCUP01,2011-05-05,PR,VOLKS,Trabalhadores,,Patronato,Indústria,Reajuste_do_valor_do_PLR,,Local,1,Instituição,3100,,Sindicato dos Metalúrgicos de Curitiba,,,Greve de Empresa,NM,NM,NM,NM,NM,NM,NM
20110610FSPA08_1,20110906BSHT01,2011-06-09,MA,Maranhão,Quilombolas,Religiosos,Gov. Federal,,Reuniao_com_a ministra_direitos_humanos_violencia_contra_quilombolas,,Local,1,Cidades,19,,Comissão Pastoral da Terra,,,Outros,NM,NM,NM,NM,NM,NM,NM
20110610FSPB03_1,20110505OCUP01,2011-05-05,São José dos Pinhais,VOLKS,Trabalhadores,,Patronato,Indústria,Reajuste_do_valor_do_PLR,,Local,1,Instituição,99,,Sindicato dos Metalúrgicos de Curitiba,,,Greve de Empresa,NM,NM,NM,NM,NM,NM,NM
20110611FSPB06_1,20110505OCUP01,2011-05-05,São José dos Pinhais,VOLKS,Trabalhadores,,Patronato,Indústria,Reajuste_do_valor_do_PLR,,Local,1,Instituição,99,2011-06-10,Sindicato dos Metalúrgicos de Curitiba,,,Greve de Empresa,NM,NM,NM,NM,NM,NM,NM
20110613FSPC06_1,20110612OCUP01,2011-06-12,Rio de Janeiro,Copacabana,Trabalhadores,,Gov. Estadual,Forças de segurança e familiares,anistia_dos_bombeiros,melhores_condicoes_de_trabalho,Local,1,Capitais,20000,2011-06-12,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20110615FSPA12_1,20110608BSHT01,2011-06-08,Natal,Camara_Municipal,Trabalhadores,Estudante,Legislativo,Outros,pelo_impeachment_da_prefeita_Natal,,Local,1,Capitais,100,,Convocado pela Internet,,,Ocupação de Órgão Público,NM,NM,NM,NM,NM,NM,NM
20110618FSPB06_1,20110617OCUP01,2011-06-17,Curitiba,BOSCH,Trabalhadores,,Patronato,Indústria,Reajuste_do_valor_do_PLR,,Local,1,Capitais,4600,,Sindicato dos Metalúrgicos de Curitiba,,,Greve de Empresa,NM,NM,NM,NM,NM,NM,NM
20110619FSPA16_1,20110618BSHT01,2011-06-18,Belo Horizonte,belo_horizonte,Ativistas de Direitos Humanos,Militantes de Partidos,Outros Grupos da Sociedade,,marcha_pela_liberdade,pela_legalizacao_da_maconha;contra_uso_indiscriminado_de_armas_nao_letais;favoraveis_aos_direitos_dos_gays;passe_livre;em_resposta_a_repressao_da_marcha_da_maconha,Nacional,11,Capitais,3000,2011-06-18,,,,Passeata/Marcha/Ato,NM,NM,Sim,NM,NM,NM,NM
20110619FSPA16_1,20110618BSHT01,2011-06-18,Campo Grande do Piauí,campo_grande,Ativistas de Direitos Humanos,Militantes de Partidos,Outros Grupos da Sociedade,,marcha_pela_liberdade,pela_legalizacao_da_maconha;contra_uso_indiscriminado_de_armas_nao_letais;favoraveis_aos_direitos_dos_gays;passe_livre;em_resposta_a_repressao_da_marcha_da_maconha,Nacional,11,Capitais,3000,2011-06-18,,,,Passeata/Marcha/Ato,NM,NM,Sim,NM,NM,NM,NM
20110619FSPA16_1,20110618BSHT01,2011-06-18,Cuiabá,cuiaba,Ativistas de Direitos Humanos,Militantes de Partidos,Outros Grupos da Sociedade,,marcha_pela_liberdade,pela_legalizacao_da_maconha;contra_uso_indiscriminado_de_armas_nao_letais;favoraveis_aos_direitos_dos_gays;passe_livre;em_resposta_a_repressao_da_marcha_da_maconha,Nacional,11,Capitais,3000,2011-06-18,,,,Passeata/Marcha/Ato,NM,NM,Sim,NM,NM,NM,NM
20110619FSPA16_1,20110618BSHT01,2011-06-18,Curitiba,curitiba,Ativistas de Direitos Humanos,Militantes de Partidos,Outros Grupos da Sociedade,,marcha_pela_liberdade,pela_legalizacao_da_maconha;contra_uso_indiscriminado_de_armas_nao_letais;favoraveis_aos_direitos_dos_gays;passe_livre;em_resposta_a_repressao_da_marcha_da_maconha,Nacional,11,Capitais,3000,2011-06-18,,,,Passeata/Marcha/Ato,NM,NM,Sim,NM,NM,NM,NM
20110619FSPA16_1,20110618BSHT01,2011-06-18,Porto Alegre do Tocantins,porto_alegre,Ativistas de Direitos Humanos,Militantes de Partidos,Outros Grupos da Sociedade,,marcha_pela_liberdade,pela_legalizacao_da_maconha;contra_uso_indiscriminado_de_armas_nao_letais;favoraveis_aos_direitos_dos_gays;passe_livre;em_resposta_a_repressao_da_marcha_da_maconha,Nacional,11,Capitais,3000,2011-06-18,,,,Passeata/Marcha/Ato,NM,NM,Sim,NM,NM,NM,NM
20110619FSPA16_1,20110618BSHT01,2011-06-18,Recife,recife,Ativistas de Direitos Humanos,Militantes de Partidos,Outros Grupos da Sociedade,,marcha_pela_liberdade,pela_legalizacao_da_maconha;contra_uso_indiscriminado_de_armas_nao_letais;favoraveis_aos_direitos_dos_gays;passe_livre;em_resposta_a_repressao_da_marcha_da_maconha,Nacional,11,Capitais,3000,2011-06-18,,,,Passeata/Marcha/Ato,NM,NM,Sim,NM,NM,NM,NM
20110619FSPA16_1,20110618BSHT01,2011-06-18,Rio de Janeiro,rio_de_janeiro,Ativistas de Direitos Humanos,Militantes de Partidos,Outros Grupos da Sociedade,,marcha_pela_liberdade,pela_legalizacao_da_maconha;contra_uso_indiscriminado_de_armas_nao_letais;favoraveis_aos_direitos_dos_gays;passe_livre;em_resposta_a_repressao_da_marcha_da_maconha,Nacional,11,Capitais,3000,2011-06-18,,,,Passeata/Marcha/Ato,NM,NM,Sim,NM,NM,NM,NM
20110619FSPA16_1,20110618BSHT01,2011-06-18,Salvador,salvador,Ativistas de Direitos Humanos,Militantes de Partidos,Outros Grupos da Sociedade,,marcha_pela_liberdade,pela_legalizacao_da_maconha;contra_uso_indiscriminado_de_armas_nao_letais;favoraveis_aos_direitos_dos_gays;passe_livre;em_resposta_a_repressao_da_marcha_da_maconha,Nacional,11,Capitais,3000,2011-06-18,,,,Passeata/Marcha/Ato,NM,NM,Sim,NM,NM,NM,NM
20110619FSPA16_1,20110618BSHT01,2011-06-18,São Paulo,Av_Paulista,Ativistas de Direitos Humanos,Militantes de Partidos,Outros Grupos da Sociedade,,marcha_pela_liberdade,pela_legalizacao_da_maconha;contra_uso_indiscriminado_de_armas_nao_letais;favoraveis_aos_direitos_dos_gays;passe_livre;em_resposta_a_repressao_da_marcha_da_maconha,Nacional,11,Capitais,3000,2011-06-18,,,,Passeata/Marcha/Ato,NM,NM,Sim,NM,NM,NM,NM
20110619FSPA16_1,20110618BSHT01,2011-06-18,Vitória,vitoria,Ativistas de Direitos Humanos,Militantes de Partidos,Outros Grupos da Sociedade,,marcha_pela_liberdade,pela_legalizacao_da_maconha;contra_uso_indiscriminado_de_armas_nao_letais;favoraveis_aos_direitos_dos_gays;passe_livre;em_resposta_a_repressao_da_marcha_da_maconha,Nacional,11,Capitais,3000,2011-06-18,,,,Passeata/Marcha/Ato,NM,NM,Sim,NM,NM,NM,NM
20110620FSPA11_1,20110619POLI01,2011-06-19,Rio de Janeiro,Copacabana,Ambientalistas,,Legislativo,,Por_mudancas_no_projeto_novo_codigo_florestal,,Local,1,Capitais,2500,2011-06-19,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
