Categoria,Entidades / Grupos Participantes
"Centrais Sindicais, Federações e Sindicatos","Central Única dos Trabalhadores (CUT), Coordenação Nacional das Classes Trabalhadoras (CONCLAT), Federação de Sindicatos dos Trabalhadores das Universidades Brasileiras (FASUBRA), Federação Nacional dos Engenheiros, sindicato de trabalhadores rurais, estatísticos, jornalistas, gráficos, bancários, metalúrgicos, metroviários, médicos, arquitetos, sociólogos, economistas, dentre outros."
Associações Profissionais,"Ordem dos Advogados do Brasil (OAB), Associação Brasileira de Imprensa (ABI), Sociedade Brasileira para o Progresso da Ciência (SBPC), Associação Médica Brasileira (AMB), Associação Nacional dos Docentes de Ensino Superior (ANDES), Instituto dos Arquitetos do Brasil (IAB), Sindicato dos Professores do Ensino Oficial do Estado de São Paulo (APEOESP), União Brasileira dos Escritores (UBE), Associação Brasileira de Educação (ABE), União Brasileira de Teatro (UBT), conselhos regionais de diversas profissões (engenharia, medicina), dentre outros."
Associações Estudantis,"UNE (União Nacional dos Estudantes), UEE (União Estadual dos Estudantes), UBES (União Brasileira dos Estudantes Secundaristas), UPES (União Paulista dos Estudantes Secundaristas), centros acadêmicos de diversas universidades, dentre outros."
Outros Tipos de Organizações,"Mídia (Folha de São Paulo, Tribuna Operária, Veja, Senhor, Isto É), organizações de movimentos sociais (feminista, negro, ecológico), Comissão de Justiça e Paz (CJP), Comunidades Eclesiais de Base (CEBs), Confederação Nacional das Associações de Moradores (Conam), Conselho Coordenador das Sociedades Amigos de Bairros, Vilas e Cidades de São Paulo (Consabes), associações de moradores de bairros e favelas, entidades populares de vários tipos."
Partidos Políticos,"PMDB, PT, PDT, PTB e GRUPO PRÓ-DIRETAS DO PDS."
